,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,isDrafted,Year
30,Demario Brown,RB,Utah State,6-0,217,4.72,31.0,,107,7.17,4.39,0,2000
31,Courtney Brown,DE,Penn State,6-5,269,4.78,,,,,,1,2000
32,Mike Brown,S,Nebraska,5-10,204,4.59,36.0,14,116,6.93,4.01,1,2000
33,Ralph Brown,CB,Nebraska,5-10,185,4.55,,10,,,,1,2000
34,Travis Brown,QB,Northern Arizona,6-3,218,5.01,29.0,,101,7.54,4.87,0,2000
35,Lamont Bryant,DE,Notre Dame,6-3,260,4.91,,17,,,,0,2000
36,Marc Bulger,QB,West Virginia,6-2,208,4.97,,,100,7.46,4.34,1,2000
37,Keith Bulluck,OLB,Syracuse,6-3,244,4.47,38.0,,119,7.33,4.13,1,2000
38,Bill Burke,QB,Michigan State,6-4,206,5.03,28.5,,107,7.46,4.42,0,2000
39,Plaxico Burress,WR,Michigan State,6-5,231,4.59,33.0,,115,,,1,2000
40,David Byrd,CB,Syracuse,5-11,202,4.53,36.0,14,117,7.18,4.39,0,2000
41,Trung Canidate,RB,Arizona,5-11,193,4.41,,18,,,,1,2000
42,Cooper Carlisle,OG,Florida,6-5,297,5.16,31.0,28,100,7.82,4.48,1,2000
43,Giovanni Carmazzi,QB,Hofstra,6-3,224,4.74,36.5,,119,6.94,4.23,1,2000
44,Leonardo Carson,DE,Auburn,6-1,283,5.06,28.0,22,106,7.82,4.75,1,2000
45,Tyrone Carter,S,Minnesota,5-8,190,4.50,41.0,16,121,6.75,4.19,1,2000
46,Kwame Cavil,WR,Texas,6-2,208,4.54,39.5,,118,,,0,2000
47,Chris Chaloupka,QB,SMU,6-2,216,4.96,,,,,,0,2000
48,Doug Chapman,RB,Marshall,5-10,215,4.56,38.5,16,128,6.84,4.20,1,2000
49,Ike Charlton,CB,Virginia Tech,5-11,205,4.47,,16,126,,,1,2000
51,Chrys Chukwuma,RB,Arkansas,6-1,232,4.56,,,115,,,0,2000
52,Joey Chustz,OT,Louisiana Tech,6-7,304,5.08,31.0,28,103,7.65,4.65,1,2000
53,Pedro Cirino,S,Boston Col.,5-11,197,4.59,,,,,,0,2000
54,John Saint Clair,C,Virginia,6-5,302,5.20,,25,,,,0,2000
55,Kendrick Clancy,DT,Mississippi,6-1,283,5.25,27.5,25,108,7.98,4.65,1,2000
56,Travis Claridge,OG,USC,6-5,303,5.15,31.5,29,100,7.77,4.86,1,2000
57,Danny Clark,ILB,Illinois,6-2,245,4.75,,20,,,,1,2000
58,Chad Clifton,OT,Tennessee,6-5,334,5.05,30.5,24,102,7.58,4.73,1,2000
59,Chris Cole,WR,Texas A&M,6-0,191,4.37,37.5,,125,6.76,4.09,1,2000
60,Chris Coleman,WR,North Carolina State,6-0,211,4.61,32.5,,110,6.79,4.10,0,2000
61,Cosey Coleman,OG,Tennessee,6-4,322,5.40,28.0,,101,8.15,4.97,1,2000
62,Laveranues Coles,WR,Florida State,5-11,192,4.41,34.0,,115,6.89,4.39,1,2000
63,Chris Combs,DT,Duke,6-5,286,5.16,,22,,,,1,2000
64,Kurth Connell,OT,Washington,6-4,291,5.49,33.0,27,103,8.14,4.84,0,2000
65,Rameel Connor,DE,Illinois,6-3,276,5.00,35.5,25,121,7.65,4.45,0,2000
66,D.J. Cooper,DT,Arkansas,6-3,277,5.22,28.0,,108,7.41,4.49,0,2000
67,Ashley Cooper,S,Mississippi State,5-10,208,4.67,,16,117,,,0,2000
68,Renard Cox,CB,Maryland,5-11,192,4.68,38.0,13,111,7.10,,0,2000
69,Casey Crawford,TE,Virginia,6-6,244,4.83,,18,,,,0,2000
70,Sedrick Curry,CB,Texas A&M,6-1,197,4.44,39.0,,125,6.34,3.94,0,2000
71,Chris Daniels,WR,Purdue,6-3,217,4.74,33.0,,115,7.20,4.24,0,2000
72,Brandon Daniels,WR,Oklahoma,5-10,211,4.54,,,,,,0,2000
73,Joe Dean Davenport,TE,Arkansas,6-7,268,5.06,30.0,13,108,7.33,4.67,0,2000
74,Darren Davis,RB,Iowa State,5-8,189,4.81,32.0,13,109,7.04,4.47,0,2000
75,Adam Davis,OG,Oklahoma State,6-4,309,5.66,26.0,,92,8.51,5.00,0,2000
76,JaJuan Dawson,WR,Tulane,6-1,199,4.55,34.0,,117,6.96,4.16,1,2000
77,Ron Dayne,RB,Wisconsin,5-11,259,4.65,,,,,,1,2000
78,Jerry DeLoach,DT,California,6-3,314,4.99,31.5,19,101,7.40,4.57,0,2000
79,Mike Derouselle,DT,Houston,6-2,314,5.28,27.5,27,96,7.67,4.80,0,2000
80,Na'il Diggs,OLB,Ohio State,6-4,231,4.66,,,,,,1,2000
81,Reuben Droughns,RB,Oregon,5-11,215,4.66,30.0,13,115,7.34,4.41,1,2000
82,Ron Dugans,WR,Florida State,6-1,206,4.58,,,117,,,1,2000
83,Deon Dyer,FB,North Carolina,5-11,260,4.99,28.0,,104,7.88,4.81,1,2000
84,Chris Edwards,OLB,Georgia Tech,6-5,226,4.65,,,,,,0,2000
85,Mario Edwards,CB,Florida State,6-0,191,4.46,,,120,,,1,2000
86,Shaun Ellis,DE,Tennessee,6-4,280,4.85,,,,,,1,2000
87,John Engelberger,DE,Virginia Tech,6-4,260,4.73,34.0,24,115,6.95,4.28,1,2000
88,Dwan Epps,ILB,Texas Southern,6-1,242,4.68,34.5,8,,,,0,2000
89,Matt Farmer,WR,Air Force,6-0,190,4.51,33.0,,108,6.63,3.94,0,2000
90,Danny Farmer,WR,UCLA,6-3,217,4.58,,,,,,1,2000
91,Kevin Feterik,QB,BYU,5-11,207,4.92,31.0,,106,7.30,4.45,0,2000
92,Chafie Fields,WR,Penn State,6-1,196,4.43,,,,,,0,2000
93,Aaron Fields,DE,Troy,6-4,243,4.76,34.0,22,115,7.51,4.56,0,2000
94,Zeron Flemister,TE,Iowa,6-4,249,4.72,37.0,14,116,6.92,4.16,0,2000
95,Erik Flowers,DE,Arizona State,6-4,271,4.75,33.0,24,114,7.21,4.15,1,2000
96,Derrick Foster,RB,Texas A&M-Kingsville,5-11,201,4.43,34.5,19,117,6.84,4.36,0,2000
97,Larry Foster,WR,LSU,5-10,198,4.55,37.0,,121,6.88,4.06,0,2000
98,John Frank,DE,Utah,6-4,280,4.78,37.0,32,117,7.07,4.27,1,2000
99,Bubba Franks,TE,Miami (FL),6-6,265,4.85,,,,,,1,2000
100,Todd Franz,S,Tulsa,6-1,199,4.55,,14,,,,1,2000
102,Arturo Freeman,S,South Carolina,6-0,188,4.50,35.5,14,124,6.91,4.38,1,2000
103,Byron Frisch,DE,BYU,6-4,281,4.73,34.5,31,114,7.20,4.41,1,2000
104,Mondriel Fulcher,FB,Miami (FL),6-3,253,4.85,27.0,18,116,7.46,4.52,1,2000
105,Trent Gamble,S,Wyoming,5-9,186,4.56,37.0,21,124,6.60,3.90,0,2000
106,Jason Gavadza,TE,Kent State,6-3,249,4.62,32.5,22,113,7.15,4.30,1,2000
107,Trevor Gaylor,WR,Miami (OH),6-3,199,4.56,37.5,,121,7.03,4.29,1,2000
108,Kabeer Gbaja-Biamila,OLB,San Diego State,6-4,243,4.65,34.0,21,120,6.90,4.28,1,2000
109,Sherrod Gideon,WR,Southern Miss,5-11,173,4.66,,,,,,1,2000
110,Ian Gold,OLB,Michigan,6-1,221,4.56,33.0,21,115,6.97,4.19,1,2000
111,Dwayne Goodrich,CB,Tennessee,5-11,195,4.45,,,,,,1,2000
112,Lamar Grant,CB,Duke,5-11,188,4.62,32.0,16,117,7.30,4.30,0,2000
113,Deon Grant,S,Tennessee,6-2,209,4.50,,15,,,,1,2000
114,Ernest Grant,DT,Ark-Pine Bluff,6-5,316,5.31,29.5,24,98,8.00,5.03,1,2000
115,Jonathan Gray,OT,Texas Tech,6-4,338,5.85,23.0,20,94,,,0,2000
116,Brian Gray,CB,BYU,6-1,214,4.94,33.5,19,116,7.38,4.24,0,2000
117,Barrett Green,OLB,West Virginia,6-0,233,4.56,36.0,22,120,,,1,2000
118,Mike Green,S,NW State (LA),6-0,189,4.53,38.5,,118,,4.20,1,2000
119,Mike Green,FB,Houston,6-0,253,4.78,28.5,25,108,7.08,4.34,1,2000
120,Damian Gregory,DT,Illinois State,6-2,307,4.87,30.0,27,105,7.37,4.60,0,2000
121,Cornelius Griffin,DE,Alabama,6-3,297,4.90,31.0,30,111,7.63,4.62,1,2000
122,Clark Haggans,OLB,Colorado State,6-3,253,4.97,31.5,20,109,7.12,4.21,1,2000
123,Ricky Hall,WR,Virginia Tech,6-2,206,4.52,,,,,,0,2000
124,Dante' Hall,RB,Texas A&M,5-8,191,4.44,38.0,18,123,6.62,3.82,0,2000
125,James Hall,DE,Michigan,6-2,271,5.03,32.0,,111,7.86,4.51,0,2000
126,Troy Hambrick,RB,South Carolina,6-0,237,4.66,34.5,21,118,7.48,4.44,0,2000
127,Joey Hamilton,WR,Jacksonville State,6-1,201,4.54,36.0,,116,7.57,4.41,0,2000
128,Joe Hamilton,QB,Georgia Tech,5-10,192,4.81,,,106,,,1,2000
129,Thomas Hamner,RB,Minnesota,6-0,197,4.50,32.0,17,125,6.97,4.07,1,2000
130,D'Andre Hardeman,FB,Texas A&M,5-10,238,4.81,30.0,,109,7.27,4.36,0,2000
131,Antwan Harris,CB,Virginia,5-9,186,4.34,39.0,16,121,6.75,4.01,1,2000
132,Jeff Harris,CB,Georgia,6-0,190,4.53,34.5,,114,6.73,4.25,1,2000
133,Lloyd Harrison,CB,North Carolina State,5-10,190,4.50,37.5,16,119,7.12,4.25,1,2000
134,Windrell Hayes,WR,USC,5-11,204,4.50,,,,7.33,4.18,1,2000
135,Semisi Heimuli,OG,Texas A&M,6-1,312,5.40,29.0,20,94,7.94,4.63,0,2000
136,Steve Herndon,OG,Georgia,6-4,297,5.23,,,,,,0,2000
137,Leroy Hodge,WR,Texas A&M,6-1,215,4.54,34.5,,116,7.14,4.21,0,2000
139,Chris Hovan,DT,Boston Col.,6-2,305,4.99,30.0,35,101,6.85,4.16,1,2000
140,Darren Howard,DE,Kansas State,6-4,281,5.09,29.0,,108,7.00,4.32,1,2000
141,Reggie Howard,CB,Memphis,5-11,190,4.55,,,,,,0,2000
142,Ethan Howell,CB,Oklahoma State,5-11,186,4.56,,16,,6.98,4.13,1,2000
143,Aaron Humphrey,DE,Texas,6-3,254,5.10,34.0,21,119,,,0,2000
144,Todd Husak,QB,Stanford,6-3,216,5.20,27.5,,99,7.17,4.41,1,2000
145,Trevor Insley,WR,Nevada,6-0,192,4.70,,,,,,0,2000
146,Junior Ioane,DT,Arizona State,6-3,324,5.12,,,,,,1,2000
147,Jabari Issa,DT,Washington,6-5,296,5.05,31.5,19,105,7.69,4.72,1,2000
148,Keith Jackson,DT,Cheyney,6-4,319,5.20,,28,,,,0,2000
149,Al Jackson,OG,LSU,6-3,304,5.20,,19,,,,0,2000
150,Darrell Jackson,WR,Florida,6-0,197,4.56,,,,,,1,2000
151,Jarious Jackson,QB,Notre Dame,6-0,226,4.68,,,109,,,1,2000
153,Marlion Jackson,RB,Saginaw Valley State,6-1,242,4.60,35.5,24,125,7.15,4.14,0,2000
154,Jeno James,OG,Auburn,6-3,320,5.62,25.5,24,94,8.51,5.22,1,2000
156,Ronney Jenkins,RB,Northern Arizona,5-10,184,4.50,,18,118,,,0,2000
157,Brandon Jennings,S,Texas A&M,6-0,198,4.51,38.0,16,123,6.91,4.14,0,2000
158,Ryan Johanningmeier,OG,Colorado,6-6,310,5.25,29.0,,107,7.90,4.66,0,2000
159,Matt Johnson,OG,BYU,6-4,345,5.56,28.0,35,99,8.07,4.99,1,2000
160,Doug Johnson,QB,Florida,6-2,226,4.95,29.5,,96,,,0,2000
161,Dwight Johnson,DT,Baylor,6-4,285,4.97,28.0,26,105,7.51,4.76,0,2000
162,Eric Johnson,S,Yale,6-0,215,4.60,38.0,12,121,6.96,4.17,1,2000
163,Jerry Johnson,DT,Florida State,6-0,293,5.03,28.5,26,102,,,1,2000
164,Dwaune Jones,WR,Richmond,6-0,191,4.66,,,,,,0,2000
165,Dhani Jones,OLB,Michigan,6-1,240,4.68,,29,,,,1,2000
166,Fred Jones,OLB,Colorado,6-2,247,4.95,32.0,17,113,7.27,4.39,0,2000
167,John Jones,TE,Pittsburgh,6-4,248,4.63,38.5,13,125,7.33,4.43,0,2000
168,Thomas Jones,RB,Virginia,5-10,216,4.45,,,,,,1,2000
169,Leander Jordan,OG,Indiana (PA),6-4,330,5.46,31.0,25,104,7.91,4.76,1,2000
170,Morgan Kane,RB,Wake Forest,6-1,221,4.62,37.5,29,121,6.81,4.16,0,2000
171,Curtis Keaton,RB,West Virginia,5-10,214,4.41,41.5,23,131,6.82,3.93,1,2000
172,Tinker Keck,S,Cincinnati,6-1,200,4.55,36.5,15,120,6.96,4.31,0,2000
173,Matt Keller,FB,Ohio State,5-11,235,4.74,,,,,,0,2000
174,Ben Kelly,CB,Colorado,5-9,183,4.53,36.0,17,116,6.63,3.95,1,2000
175,Dan Kendra,FB,Florida State,6-0,251,4.84,35.0,24,119,,,0,2000
176,Kenoy Kennedy,S,Arkansas,6-1,221,4.71,33.5,8,113,7.08,4.38,1,2000
177,Sean Key,S,Florida State,5-11,188,4.65,,,,7.12,4.20,0,2000
179,Erron Kinney,TE,Florida,6-6,272,4.90,,,,,,1,2000
180,Adrian Klemm,OT,Hawaii,6-4,307,4.98,,24,,,,1,2000
181,Andrew Kline,OG,San Diego State,6-2,305,5.43,28.0,26,103,7.54,4.60,1,2000
182,Marcus Knight,WR,Michigan,6-1,180,4.72,28.5,,106,7.11,4.38,0,2000
183,Noel LaMontagne,OG,Virginia,6-4,299,5.09,,21,,,,0,2000
184,Kareem Larrimore,CB,West Texas A&M,5-11,190,4.42,34.0,,125,,,1,2000
185,Leif Larsen,DT,Texas-El Paso,6-4,300,5.08,30.0,45,110,7.46,4.37,1,2000
187,Charles Lee,WR,Central Florida,6-1,202,4.56,35.5,,125,7.30,4.25,1,2000
188,Tim Lester,QB,West. Michigan,6-0,202,5.02,27.0,,97,7.28,4.24,0,2000
189,Jamal Lewis,RB,Tennessee,6-0,240,4.58,,23,,,,1,2000
190,Anthony Lucas,WR,Arkansas,6-3,194,4.53,35.0,,121,,,1,2000
191,Al Lucas,DT,Troy,6-1,294,5.00,36.0,28,108,7.44,4.56,0,2000
192,Alton Lusk,WR,Central Oklahoma,6-2,182,4.61,36.5,,122,7.16,4.26,0,2000
193,Dustin Lyman,ILB,Wake Forest,6-4,259,4.70,35.0,22,118,6.86,4.06,1,2000
194,David Macklin,CB,Penn State,5-9,194,4.54,37.5,,120,6.90,4.09,1,2000
195,Anthony Malbrough,CB,Texas Tech,5-9,184,4.44,35.5,20,117,6.73,4.00,1,2000
196,Tee Martin,QB,Tennessee,6-2,227,4.58,34.5,,113,,,1,2000
197,Terrence McCaskey,TE,Mississippi State,6-5,271,5.00,29.0,,101,,,0,2000
198,Kevin McDougal,RB,Colorado State,5-11,206,4.63,32.0,,108,7.08,4.12,0,2000
199,Stockar McDougle,OT,Oklahoma,6-5,361,5.50,,24,,,,1,2000
200,Chris McIntosh,OT,Wisconsin,6-6,315,5.39,,28,,,,1,2000
201,Damion McIntosh,OT,Kansas State,6-4,328,5.31,26.0,23,97,7.72,4.71,1,2000
202,Alvin McKinley,DT,Mississippi State,6-4,289,5.09,27.5,22,102,7.73,4.61,1,2000
204,Rondell Mealey,RB,LSU,6-0,212,4.69,33.0,,120,6.89,4.15,1,2000
205,Brad Meester,C,New Mexico,6-3,298,5.12,34.0,25,110,7.46,4.43,1,2000
206,Rob Meier,DE,Washington State,6-5,284,4.99,30.5,27,113,7.49,4.52,1,2000
207,Richard Mercier,OG,Miami (FL),6-3,295,5.39,26.0,18,97,7.84,4.78,1,2000
208,Keith Miller,ILB,California,6-1,246,4.97,27.5,24,110,7.37,4.43,0,2000
209,Wendell Montgomery,WR,Wyoming,6-3,203,4.81,35.5,,117,7.01,4.24,0,2000
210,Scottie Montgomery,WR,Duke,6-0,196,4.57,36.0,,117,7.16,4.11,0,2000
211,Mookie Moore,OG,Troy,6-3,320,5.45,24.5,34,94,8.37,5.06,0,2000
212,Muneer Moore,WR,Richmond,6-1,201,4.52,37.5,,129,6.91,4.09,1,2000
213,Corey Moore,OLB,Virginia Tech,5-11,223,4.60,,21,,,,1,2000
214,Frank Moreau,RB,Louisville,6-1,231,4.57,36.0,23,117,,,1,2000
215,Aric Morris,S,Michigan State,5-9,211,4.56,,24,,,,1,2000
216,Rob Morris,ILB,BYU,6-2,250,4.77,33.0,18,113,6.93,4.17,1,2000
217,Sammy Morris,FB,Texas Tech,6-0,221,4.65,37.5,23,117,7.05,4.21,1,2000
218,Sylvester Morris,WR,Jackson State,6-3,216,4.60,34.5,,119,7.06,4.17,1,2000
219,Chad Morton,RB,USC,5-8,182,4.50,36.0,18,121,,,1,2000
220,Leon Murray,QB,Tennessee State,6-2,207,4.75,,,,,,0,2000
221,Bobby Myers,S,Wisconsin,6-1,183,4.56,37.5,,123,7.04,4.10,1,2000
222,Kaulana Noa,OT,Hawaii,6-4,317,5.34,25.5,27,98,7.82,4.74,1,2000
223,Dennis Northcutt,WR,Arizona,5-10,175,4.43,37.5,,123,6.96,4.04,1,2000
224,Carlos Nuno,TE,BYU,6-4,263,5.03,28.0,23,106,,,0,2000
225,Matt O'Neal,C,Oklahoma,6-3,277,5.06,27.5,17,94,7.59,4.72,0,2000
226,Andre O'Neal,ILB,Marshall,6-1,235,4.72,34.0,16,114,7.30,4.24,0,2000
227,Deltha O'Neal,CB,California,5-11,193,4.60,,,,,,1,2000
229,Erik Olson,S,Colorado State,6-1,208,4.63,35.0,17,115,6.81,4.21,1,2000
230,Chad Pennington,QB,Marshall,6-3,229,4.81,33.5,,111,7.12,4.16,1,2000
231,Cory Peterson,WR,Mississippi,6-2,195,4.75,32.5,,114,,,0,2000
232,Julian Peterson,OLB,Michigan State,6-5,231,4.68,,,,,,1,2000
233,Mareno Philyaw,WR,Troy,6-2,205,4.66,39.5,,129,6.93,4.13,1,2000
234,Todd Pinkston,WR,Southern Miss,6-2,169,4.45,,,,,,1,2000
235,Cedric Pittman,OLB,Nevada,6-3,261,4.90,30.5,20,111,7.75,4.52,0,2000
236,Ahmed Plummer,CB,Ohio State,5-11,191,4.43,,,,,,1,2000
237,DaShon Polk,OLB,Arizona,6-2,233,4.75,32.0,18,111,7.43,4.45,1,2000
238,Jerry Porter,WR,West Virginia,6-2,221,4.48,,,,,,1,2000
239,Hank Poteat,CB,Pittsburgh,5-10,197,4.57,37.0,16,126,6.66,4.00,1,2000
240,Travis Prentice,RB,Miami (OH),6-0,225,4.50,37.0,23,115,6.92,4.40,1,2000
241,Greg Randall,OT,Michigan State,6-6,333,5.59,26.0,22,95,8.15,5.13,1,2000
242,Tim Rattay,QB,Louisiana Tech,6-0,215,4.91,25.5,,100,7.34,4.21,1,2000
243,Chase Raynock,OT,Montana,6-6,308,5.50,25.0,22,94,8.33,5.00,0,2000
244,Chris Redman,QB,Louisville,6-3,222,5.37,26.5,,98,7.80,4.78,1,2000
245,J.R. Redmond,RB,Arizona State,5-11,216,4.48,32.5,,121,,,1,2000
246,Quinton Reese,DE,Auburn,6-4,283,5.13,30.0,18,101,7.91,4.68,1,2000
247,Tutan Reyes,OT,Mississippi,6-3,299,5.37,26.5,20,99,7.49,4.88,1,2000
248,Rob Riti,C,Missouri,6-2,293,5.19,29.5,17,106,,,0,2000
249,Fred Robbins,DT,Wake Forest,6-4,312,5.09,29.5,25,94,7.72,4.72,1,2000
250,Roger Roesler,OG,Texas,6-5,314,5.31,29.5,25,101,8.31,4.76,0,2000
251,Phillip Rogers,RB,Georgia Tech,6-1,232,4.68,37.0,19,124,7.21,4.31,0,2000
252,Mark Roman,CB,LSU,5-11,188,4.55,,,,,,1,2000
253,Blaine Saipaia,OG,Colorado State,6-3,321,5.35,,,,,,0,2000
255,Chris Samuels,OT,Alabama,6-5,325,5.08,,,,,,1,2000
256,Lewis Sanders,CB,Maryland,6-0,202,4.50,37.0,10,116,,,1,2000
257,Ketric Sanford,RB,Houston,5-7,199,4.60,32.0,12,118,6.63,4.30,0,2000
258,Sekou Sanyika,OLB,California,6-3,241,4.75,32.5,,111,7.33,4.38,1,2000
259,Manuia Savea,OG,Arizona,6-2,308,5.34,25.0,24,92,,,1,2000
260,Gari Scott,WR,Michigan State,6-0,194,4.59,33.5,,119,,,1,2000
261,Tony Scott,CB,North Carolina State,5-10,193,4.50,34.0,11,116,7.45,4.24,1,2000
262,Richard Seals,DT,Utah,6-2,316,5.13,28.5,24,102,7.78,4.60,1,2000
263,Aaron Shea,FB,Michigan,6-4,253,4.81,37.5,,114,6.72,4.30,1,2000
264,Jacoby Shepherd,CB,Oklahoma State,6-1,195,4.53,35.0,5,120,,,1,2000
265,Samson Sherrod,OLB,San Jose State,6-3,262,4.78,,,,,,0,2000
266,Wes Shivers,OT,Mississippi State,6-5,318,5.65,22.5,18,98,8.48,4.81,1,2000
267,Brandon Short,ILB,Penn State,6-3,252,4.72,,,,,,1,2000
268,Kofi Shuck,WR,Wyoming,6-2,180,4.66,33.0,,119,7.18,4.10,0,2000
269,Corey Simon,DT,Florida State,6-2,297,4.83,,,,,,1,2000
270,Mark Simoneau,OLB,Kansas State,6-0,237,4.60,36.0,24,117,7.08,4.09,1,2000
271,Peter Sirmon,ILB,Oregon,6-2,246,4.84,34.5,20,115,7.21,4.27,1,2000
272,T.J. Slaughter,ILB,Southern Miss,6-0,247,4.87,30.0,24,112,7.08,4.26,1,2000
273,Dwyte Smiley,S,Youngstown State,6-1,198,4.57,35.0,13,115,7.18,4.29,0,2000
274,Jamel Smith,ILB,Virginia Tech,6-0,245,5.18,29.5,,108,7.51,4.58,0,2000
275,Keith Smith,RB,Arizona,5-10,207,4.50,,,,,,0,2000
276,Marvel Smith,OT,Arizona State,6-5,320,5.37,27.5,24,100,7.87,4.83,1,2000
277,Paul Smith,FB,Texas-El Paso,5-11,220,4.65,,25,,,,1,2000
278,Robaire Smith,DE,Michigan State,6-4,275,4.88,,,,,,1,2000
279,Terrelle Smith,FB,Arizona State,6-0,249,5.00,32.5,19,109,8.38,4.85,1,2000
280,R. Jay Soward,WR,USC,5-9,177,4.34,35.0,,124,,,1,2000
281,Rashon Spikes,RB,Boise State,5-10,204,4.78,33.0,13,113,7.18,4.47,0,2000
282,Quinton Spotwood,WR,Syracuse,5-11,184,4.55,33.5,,123,,,0,2000
283,Dave Stachelski,TE,Boise State,6-3,250,4.78,38.0,24,115,6.84,4.14,1,2000
284,Shyrone Stith,RB,Virginia Tech,5-7,204,4.60,35.0,13,111,7.14,4.14,1,2000
285,Jay Tant,TE,Northwestern,6-3,255,4.75,,31,,,,1,2000
286,Mark Tauscher,OG,Wisconsin,6-3,318,5.37,27.0,22,90,7.91,4.84,1,2000
287,Shannon Taylor,OLB,Virginia,6-3,249,4.65,34.5,,115,,,1,2000
288,Travis Taylor,WR,Florida,6-1,199,4.43,37.0,,118,7.15,,1,2000
289,Adalius Thomas,DE,Southern Miss,6-2,270,4.56,38.5,,120,,4.42,1,2000
290,Jason Thomas,OG,South Carolina,6-3,300,5.22,29.5,23,100,7.99,,1,2000
291,Michael Thompson,OT,Tennessee State,6-4,305,5.28,26.0,16,104,7.99,4.73,1,2000
292,Raynoch Thompson,OLB,Tennessee,6-3,220,4.65,,,,,,1,2000
293,Travares Tillman,S,Georgia Tech,6-1,194,4.60,37.5,15,123,6.95,4.29,1,2000
294,Mao Tosi,DT,Idaho,6-5,310,5.26,28.5,19,99,7.72,4.60,1,2000
295,Mac Tuiaea,DT,Washington,6-6,296,5.09,29.0,25,99,7.82,4.72,0,2000
296,Ryan Tujague,OG,Washington State,6-5,297,5.16,27.0,21,96,8.18,4.95,0,2000
297,Jeff Ulbrich,ILB,Hawaii,6-0,249,4.65,32.0,24,109,7.23,4.30,1,2000
298,Brian Urlacher,OLB,New Mexico,6-4,258,4.59,34.0,27,122,6.94,4.18,1,2000
299,Darrick Vaughn,CB,Texas State,5-11,196,4.53,36.5,14,121,7.09,4.16,1,2000
300,Andy Vincent,OG,Texas A&M,6-4,306,5.20,28.5,14,108,7.54,4.42,0,2000
301,Todd Wade,OT,Mississippi,6-8,326,5.22,27.5,29,101,7.68,4.68,1,2000
303,Darwin Walker,DT,Tennessee,6-2,293,4.82,,,,,,1,2000
304,Troy Walters,WR,Stanford,5-6,171,4.55,32.5,,106,6.61,3.84,1,2000
306,Steve Warren,DT,Nebraska,6-1,307,5.10,30.5,29,105,7.97,4.56,1,2000
307,Peter Warrick,WR,Florida State,5-11,194,4.58,,,,,,1,2000
308,Jason Webster,CB,Texas A&M,5-9,180,4.42,35.5,17,122,6.76,3.98,1,2000
309,James Whalen,TE,Kentucky,6-2,228,4.78,31.0,,110,7.42,4.22,1,2000
310,Austin Wheatley,TE,Iowa,6-4,254,4.66,32.5,,121,6.97,4.18,1,2000
311,Damen Wheeler,CB,Colorado,5-9,179,4.51,35.0,11,115,7.21,4.27,1,2000
312,Anthony White,RB,Kentucky,6-0,195,4.68,32.5,,118,7.05,4.24,0,2000
